,Date,Calories
0,2014-10-27,1280.0
1,2014-10-28,1830.0
2,2014-10-29,1640.0
3,2014-10-30,1660.0
4,2014-10-31,2009.0
5,2014-11-01,1340.0
6,2014-11-02,1850.0
7,2014-11-03,1370.0
8,2014-11-04,1650.0
9,2014-11-05,1630.0
10,2014-11-06,1700.0
11,2014-11-07,1300.0
12,2014-11-08,1870.0
13,2014-11-09,1690.0
14,2014-11-10,2060.0
15,2014-11-11,1830.0
16,2014-11-12,1600.0
17,2014-11-13,1900.0
18,2014-11-14,1240.0
19,2014-11-15,1730.0
20,2014-11-16,1590.0
21,2014-11-17,1700.0
22,2014-11-18,1815.0
23,2014-11-19,1720.0
24,2014-11-20,1770.0
25,2014-11-21,1910.0
26,2014-11-22,1910.0
27,2014-11-23,1780.0
28,2014-11-24,1860.0
29,2014-11-25,2710.0
30,2014-11-26,1700.0
31,2014-11-27,3150.0
32,2014-11-28,2570.0
33,2014-11-29,2350.0
34,2014-11-30,2200.0
35,2014-12-01,1620.0
36,2014-12-02,2330.0
37,2014-12-03,2280.0
38,2014-12-04,2200.0
39,2014-12-05,2950.0
40,2014-12-06,2150.0
41,2014-12-07,2150.0
42,2014-12-08,1990.0
43,2014-12-09,1800.0
44,2014-12-10,1770.0
45,2014-12-11,2174.0
46,2014-12-12,3080.0
47,2014-12-13,1460.0
48,2014-12-14,2020.0
49,2014-12-15,2260.0
50,2014-12-16,2130.0
51,2014-12-17,2100.0
52,2014-12-18,2150.0
53,2014-12-19,2350.0
54,2014-12-20,2200.0
55,2014-12-21,2450.0
56,2014-12-22,2350.0
57,2014-12-23,2510.0
58,2014-12-24,2660.0
59,2014-12-25,3450.0
60,2014-12-26,2100.0
61,2014-12-27,1800.0
62,2014-12-28,2160.0
63,2014-12-29,2550.0
64,2014-12-30,1910.0
65,2014-12-31,2800.0
66,2015-01-01,2430.0
67,2015-01-02,2600.0
68,2015-01-03,2650.0
69,2015-01-04,1950.0
70,2015-01-05,1644.0
71,2015-01-06,1400.0
72,2015-01-07,1780.0
73,2015-01-08,1510.0
74,2015-01-09,2230.0
75,2015-01-10,2232.0
76,2015-01-11,1795.0
77,2015-01-12,2030.0
78,2015-01-13,1853.0
79,2015-01-14,1801.0
80,2015-01-15,1710.0
81,2015-01-20,1425.0
82,2015-01-21,1705.0
83,2015-01-22,2500.0
84,2015-01-23,1990.0
85,2015-01-24,2080.0
86,2015-01-25,2555.0
87,2015-01-26,3130.0
88,2015-01-27,1970.0
89,2015-01-28,1645.0
90,2015-01-29,1460.0
91,2015-01-30,1810.0
92,2015-01-31,1940.0
93,2015-02-01,1870.0
94,2015-02-02,1880.0
95,2015-02-03,2310.0
96,2015-02-04,1970.0
97,2015-02-05,1745.0
98,2015-02-06,2200.0
99,2015-02-07,1750.0
100,2015-02-08,2240.0
101,2015-02-09,2010.0
102,2015-02-10,2040.0
103,2015-02-11,2100.0
104,2015-02-12,2138.0
105,2015-02-13,2050.0
106,2015-02-14,2060.0
107,2015-02-15,2460.0
108,2015-02-16,1840.0
109,2015-02-17,2285.0
110,2015-02-18,2280.0
111,2015-02-19,2120.0
112,2015-02-20,2150.0
113,2015-02-21,1790.0
114,2015-02-22,2685.0
115,2015-02-23,2180.0
116,2015-02-24,2260.0
117,2015-02-25,2030.0
118,2015-02-26,2530.0
119,2015-02-27,2300.0
120,2015-02-28,2100.0
121,2015-03-01,2350.0
122,2015-03-02,2520.0
123,2015-03-03,2100.0
124,2015-03-04,2450.0
125,2015-03-05,2720.0
126,2015-03-06,2200.0
127,2015-03-07,1800.0
128,2015-03-08,2370.0
129,2015-03-09,2550.0
130,2015-03-10,2780.0
131,2015-03-11,2910.0
132,2015-03-13,2530.0
133,2015-03-14,2740.0
134,2015-03-15,2220.0
135,2015-03-16,1700.0
136,2015-03-17,2900.0
137,2015-03-18,2150.0
138,2015-03-19,3100.0
139,2015-03-20,2850.0
140,2015-03-21,2550.0
141,2015-03-22,1750.0
142,2015-03-25,2830.0
143,2015-03-26,3100.0
144,2015-03-27,2260.0
145,2015-03-28,2850.0
146,2015-03-29,1800.0
147,2015-03-30,2480.0
148,2015-03-31,2400.0
149,2015-04-01,2600.0
150,2015-04-02,2450.0
151,2015-04-03,2700.0
152,2015-04-04,3200.0
153,2015-04-05,2750.0
154,2015-04-06,2800.0
155,2015-04-07,2620.0
156,2015-04-08,3150.0
157,2015-04-09,2300.0
158,2015-04-10,2510.0
159,2015-04-11,3300.0
160,2015-04-12,2150.0
161,2015-04-13,2400.0
162,2015-04-14,2100.0
163,2015-04-15,2500.0
164,2015-04-16,2450.0
165,2015-04-17,2380.0
166,2015-04-18,3200.0
167,2015-04-19,3870.0
168,2015-04-20,2530.0
169,2015-04-21,2370.0
170,2015-04-22,2200.0
171,2015-04-23,1800.0
172,2015-04-24,3400.0
173,2015-04-25,2500.0
174,2015-04-26,1970.0
175,2015-04-27,3700.0
176,2015-04-28,2480.0
177,2015-04-29,3060.0
178,2015-04-30,2030.0
179,2015-05-01,3040.0
180,2015-05-02,2100.0
181,2015-05-03,2600.0
182,2015-05-04,2250.0
183,2015-05-05,2050.0
184,2015-05-06,1800.0
185,2015-05-07,2750.0
186,2015-05-08,2200.0
187,2015-05-09,2600.0
188,2015-05-10,2770.0
189,2015-05-12,1730.0
190,2015-05-13,3350.0
191,2015-05-14,2890.0
192,2015-05-15,2830.0
193,2015-05-16,2900.0
194,2015-05-17,1965.0
195,2015-05-18,2390.0
196,2015-05-19,1870.0
197,2015-05-20,2370.0
198,2015-05-21,3150.0
199,2015-05-22,2410.0
200,2015-05-23,2200.0
201,2015-05-24,1600.0
202,2015-05-25,2200.0
203,2015-05-26,2900.0
204,2015-05-27,1960.0
205,2015-05-28,3500.0
206,2015-05-29,2430.0
207,2015-05-30,2700.0
208,2015-06-02,2200.0
209,2015-06-03,3101.0
210,2015-06-04,2850.0
211,2015-06-09,3500.0
212,2015-06-10,2400.0
213,2015-06-11,2100.0
214,2015-06-12,2150.0
215,2015-06-13,2530.0
216,2015-06-14,1500.0
217,2015-06-16,3660.0
218,2015-06-17,2000.0
219,2015-06-18,1800.0
