Date,Weight
2012-06-01,336
2014-08-01,270
2014-10-27,257
2014-10-28,255
2014-10-29,252
2014-10-30,251
2014-10-31,250
2014-11-02,250
2014-11-04,248
2014-11-08,249
2014-11-10,249
2014-11-12,245
2014-11-13,246
2014-11-14,245
2014-11-15,244
2014-11-17,242
2014-11-18,241
2014-11-19,241
2014-11-20,240
2014-11-22,241
2014-11-25,243
2014-11-27,240
2014-12-02,240
2014-12-03,239
2014-12-04,239
2014-12-05,238
2014-12-06,238
2014-12-07,237
2014-12-08,237
2014-12-09,236
2014-12-10,235
2014-12-11,235
2014-12-12,234
2014-12-13,235
2014-12-19,233
2014-12-20,231
2014-12-22,233
2014-12-27,231
2014-12-28,230
2015-01-05,229
2015-01-08,228
2015-01-09,227
2015-01-14,225
2015-01-17,226
2015-01-21,226
2015-01-22,225
2015-01-24,223
2015-01-25,223
2015-01-31,219
2015-02-02,218
2015-02-04,218
2015-02-11,217
2015-02-14,216
2015-02-16,215
2015-02-26,211
2015-02-27,211
2015-03-06,211
2015-03-07,210
2015-03-08,209
2015-03-18,208
2015-03-27,205
2015-04-07,206
2015-04-09,207
2015-04-15,204
2015-04-28,202
2015-05-03,201
2015-05-20,199.6
2015-05-27,199
2015-06-14,200
2015-07-19,199
2015-07-20,197
2015-08-03,196
2015-08-22,194
2015-09-01,192
2015-11-10,194
2015-12-27,195
2016-01-06,198
2016-01-11,196
2016-08-08,203
2016-08-29,206
2016-12-02,212
2016-12-31,214
2017-01-15,220
2017-05-28,219
2017-05-29,216
2017-06-04,218
2017-06-25,215
2017-06-27,213
2017-06-30,215
2017-07-01,211
2017-07-02,213
2017-07-03,215
2017-07-04,212
2017-07-05,212
2017-07-10,216
2017-07-13,215
2017-07-14,214
2017-07-16,215
2017-07-26,213
2017-07-29,214
2017-07-30,213
2017-08-02,214
2017-08-03,212
2017-08-11,214
2017-10-15,214
2017-10-19,214
2017-10-25,214
2017-10-27,213
2017-10-29,212
2017-10-30,211
2017-11-01,214
2017-11-02,211
2017-11-04,213
2017-11-05,212
2017-11-06,212
2017-11-07,209
2017-11-08,210
2017-11-09,209
2017-11-10,209
2017-11-11,210
2017-11-12,213
2017-11-13,213
2017-11-14,211
2017-11-15,210
2017-11-16,208
2017-11-17,209
2017-11-21,209
2017-11-25,210
2017-11-27,211
2017-11-29,211
2017-12-01,213
2017-12-07,209
2017-12-08,211
2017-12-14,212
2017-12-20,215
2017-12-31,216
2018-01-02,213
2018-01-07,213
2018-01-08,215
2018-01-11,211
2018-01-16,213
2018-01-17,212
2018-01-18,213
2018-01-19,211
2018-01-20,212
2018-01-21,213
2018-01-22,211
2018-01-24,213
2018-01-25,213
2018-01-28,211
2018-01-29,211
2018-01-30,208
2018-01-31,211
2018-02-07,215
2018-02-08,214
2018-02-19,210
2018-02-20,211
2018-02-26,212
2018-02-27,209
2018-03-01,210
2018-03-30,213
2018-04-07,213
2018-04-14,215
2018-04-18,211
2018-04-19,212
2018-06-19,215
2018-07-14,222
2018-07-15,219
2018-07-17,220
2018-07-22,222
2018-12-30,223
2019-02-15,222
2019-04-12,230
2019-04-20,230
2019-05-18,230
2019-07-28,230
2019-09-03,235
2019-10-03,230
2019-12-06,230
2019-12-13,227
2019-12-16,224
2019-12-20,222
2019-12-22,222
2019-12-29,221
2020-01-03,226
2020-01-04,228
2020-01-10,229
2020-01-14,228
2020-02-17,228
2020-03-20,226
2020-03-21,226
2020-04-08,228
2020-04-09,227
2020-05-04,230
2020-05-12,234
2020-05-28,238
2020-05-29,237
2020-06-27,238
2020-07-20,237
2020-07-23,240
2020-11-12,234
2020-11-17,236
2020-11-23,236
2021-01-07,239
2021-01-12,238
2021-01-17,236
2021-01-18,235
2021-03-01,238
2021-03-05,235
2021-03-14,235
2021-04-01,242
2021-04-02,243
2021-04-20,242
2021-04-25,238
2021-04-26,239
2021-04-27,241
2021-04-28,239
2021-05-03,243
2021-05-04,243
2021-05-05,244
2021-05-11,243
2021-05-18,246
2021-05-24,245
2021-06-01,242
2021-06-07,244
2021-06-09,245
2021-06-10,247
2021-06-13,246
2021-06-17,245
2021-06-18,246
2021-06-20,247
2021-06-23,246
2021-06-24,245
2021-06-25,244
2021-06-30,242
2021-07-02,247
2021-07-07,249
2021-07-19,251
2021-07-29,254
2021-07-31,253
2021-09-04,251
2021-09-18,248
2021-09-26,250
2021-10-02,251
2021-10-04,253
2021-10-09,253
2021-10-17,252
2021-10-24,252
2021-10-30,254
2021-11-13,255
2021-11-20,256
2021-11-24,257
2021-12-26,257
2022-01-08,257
2022-01-16,258
2022-01-22,257
2022-02-08,258
2022-02-18,258
2022-02-28,257
2022-03-05,259
2022-03-10,260
2022-03-15,261
2022-03-19,263
2022-03-23,263
2022-04-17,272
2022-04-18,270
2022-04-23,266
2022-05-04,268
2022-05-12,272
2022-05-31,273
2022-06-12,278
2022-07-10,278
2022-07-24,282
2022-07-25,280
2022-07-31,277
2022-08-25,281
2022-09-01,281
2022-09-10,283
2022-09-15,281
2022-09-26,285
2022-10-26,286
2022-10-30,283
2022-11-18,288
2022-11-24,289
2022-12-03,290